slug,tier,year,journal,title,authors,doi,url
lafuente-szerb-et-al-2015-jtt,B,2015,Journal of Technology Transfer,Country level efficiency and national systems of entrepreneurship: a data envelopment analysis approach,Esteban Lafuente; szerb-laszlo; Zoltán J. Ács,10.1007/s10961-015-9440-9,https://doi.org/10.1007/s10961-015-9440-9
lychagin-2016-jue,B,2016,Journal of Urban Economics,"Spillovers, absorptive capacity and agglomeration",lychagin-sergey,10.1016/j.jue.2016.08.005,https://doi.org/10.1016/j.jue.2016.08.005
barany-siegel-2020-labec,B,2020,Labour Economics,Biased technological change and employment reallocation,barany-zsofia; Christian Siegel,10.1016/j.labeco.2020.101930,https://doi.org/10.1016/j.labeco.2020.101930
telegdy-2018-labec,B,2018,Labour Economics,Public wage spillovers: The role of individual characteristics and employer wage policies,telegdy-almos,10.1016/j.labeco.2018.08.008,https://doi.org/10.1016/j.labeco.2018.08.008
danis-gamba-2023-ms,B,2023,Management Science,Dark Knights: The Rise in Firm Intervention by CDS Investors,danis-andras; Andrea Gamba,,
danis-2017-ms,B,2017,Management Science,Do Empty Creditors Matter? Evidence from Distressed Exchange Offers,danis-andras,,
sziklai-fleiner-et-al-2016-mathprog,B,2016,Mathematical Programming,On the core and nucleolus of directed acyclic graph games,sziklai-balazs; fleiner-tamas; Tamás Solymosi,10.1007/s10107-016-1062-y,https://doi.org/10.1007/s10107-016-1062-y
fleiner-jordan-1999-mathprog,B,1999,Mathematical Programming,Coverings and structure of crossing families,fleiner-tamas; Tibor Jordán,10.1007/s101070050035,https://doi.org/10.1007/s101070050035
koczy-sziklai-2018-orl,B,2018,Operations Research Letters,Bounds on Malapportionment,koczy-laszlo; sziklai-balazs,10.1016/j.orl.2018.03.002,https://doi.org/10.1016/j.orl.2018.03.002
solymosi-sziklai-2016-orl,B,2016,Operations Research Letters,Characterization sets for the nucleolus in balanced games,Tamás Solymosi; sziklai-balazs,10.1016/j.orl.2016.05.014,https://doi.org/10.1016/j.orl.2016.05.014
fleiner-frank-et-al-2003-orl,B,2003,Operations Research Letters,A constrained independent set problem for matroids,fleiner-tamas; András Frank; Satoru Iwata,10.1016/s0167-6377(03)00063-4,https://doi.org/10.1016/s0167-6377(03)00063-4
fredriksson-neumayer-et-al-2007-pc,B,2007,Public Choice,Kyoto Protocol cooperation: Does government corruption facilitate environmental lobbying?,Per G. Fredriksson; Eric Neumayer; ujhelyi-gergely,10.1007/s11127-007-9187-4,https://doi.org/10.1007/s11127-007-9187-4
bekes-harasztosi-2012-rsue,B,2012,Regional Science and Urban Economics,Agglomeration premium and trading activity of firms,bekes-gabor; harasztosi-peter,10.1016/j.regsciurbeco.2012.11.004,https://doi.org/10.1016/j.regsciurbeco.2012.11.004
elekes-2024-rs-resilience,B,2024,Regional Studies,Regional resilience and the network structure of inter-industry labour flows,elekes-zoltan,,
acs-szerb-et-al-2014-regstud,B,2014,Regional Studies,The Regional Application of the Global Entrepreneurship and Development Index (GEDI): The Case of Spain,Zoltán J. Ács; szerb-laszlo; Raquel Ortega‐Argilés; Ruta Aidis; Alicia Coduras,10.1080/00343404.2014.888712,https://doi.org/10.1080/00343404.2014.888712
galasso-mitchell-et-al-2017-rp,B,2017,Research Policy,A theory of grand innovation prizes,Alberto Galasso; Matthew Mitchell; virag-gabor,10.1016/j.respol.2017.11.009,https://doi.org/10.1016/j.respol.2017.11.009
acs-autio-et-al-2013-rp,B,2013,Research Policy,National Systems of Entrepreneurship: Measurement issues and policy implications,Zoltán J. Ács; Erkko Autio; szerb-laszlo,10.1016/j.respol.2013.08.016,https://doi.org/10.1016/j.respol.2013.08.016
barany-siegel-2020-red,B,2020,Review of Economic Dynamics,Engines of sectoral labor productivity growth,barany-zsofia; Christian Siegel,10.1016/j.red.2020.07.007,https://doi.org/10.1016/j.red.2020.07.007
abraham-pavoni-2008-roed,B,2008,Review of Economic Dynamics,Efficient allocations with moral hazard and hidden borrowing and lending: A recursive formulation,abraham-arpad; Nicola Pavoni,10.1016/j.red.2008.05.001,https://doi.org/10.1016/j.red.2008.05.001
valentinyi-herrendorf-2008-roed,B,2008,Review of Economic Dynamics,Measuring factor income shares at the sectoral level,valentinyi-akos; Berthold Herrendorf,10.1016/j.red.2008.02.003,https://doi.org/10.1016/j.red.2008.02.003
benk-gillman-et-al-2005-red,B,2005,Review of Economic Dynamics,Credit shocks in the financial deregulatory era: Not the usual suspects,benk-szilard; Max Gillman; Michal Kejak,10.1016/j.red.2005.01.012,https://doi.org/10.1016/j.red.2005.01.012
herrendorf-valentinyi-2003-roed,B,2003,Review of Economic Dynamics,Determinacy through intertemporal capital adjustment costs,Berthold Herrendorf; valentinyi-akos,10.1016/s1094-2025(03)00020-6,https://doi.org/10.1016/s1094-2025(03)00020-6
heidhues-koszegi-2015-roio,B,2015,Review of Industrial Organization,On the Welfare Costs of Naiveté in the US Credit-Card Market,Paul Heidhues; koszegi-botond,10.1007/s11151-015-9473-0,https://doi.org/10.1007/s11151-015-9473-0
bekes-murakozy-2018-rowe,B,2018,Review of World Economics,The ladder of internationalization modes: evidence from European firms,bekes-gabor; murakozy-balazs,10.1007/s10290-018-0305-9,https://doi.org/10.1007/s10290-018-0305-9
cede-chiriacescu-et-al-2018-rowe,B,2018,Review of World Economics,Export characteristics and output volatility: comparative firm-level evidence for CEE countries,Urška Čede; Bogdan Chiriacescu; harasztosi-peter; Tibor Lalinský; Jaanika Meriküll,10.1007/s10290-018-0312-x,https://doi.org/10.1007/s10290-018-0312-x
bekes-fontagne-et-al-2017-rowe,B,2017,Review of World Economics,Shipment frequency of exporters and demand uncertainty,bekes-gabor; Lionel Fontagné; murakozy-balazs; Vincent Vicard,10.1007/s10290-017-0286-0,https://doi.org/10.1007/s10290-017-0286-0
halpern-piazolo-et-al-1998-rowe,B,1998,Review of World Economics,Book reviews,halpern-laszlo; Daniel Piazolo; Horst Siebert; Franco Reither; Rolf Jungnickel,10.1007/bf02707931,https://doi.org/10.1007/bf02707931
